Episode,State,Action,Collision_Probability,Collision_Probability_Per_Step,Done
0,"[-38.90213776  -1.43351614 -12.1800108    0.           0.
   0.          12.          -1.           1.3651576  105.088974
 359.06732178   1.70743653]",2,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-34.36192703  -1.54956388 -13.42569828   0.           0.
   0.          12.          -1.           1.37739313 105.30427551
 359.11019897   1.78779601]",31,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.32548599e+01 -1.57885432e+00 -1.37325411e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.54202378e+00  1.05353500e+02  3.59111359e+02  5.51609132e-05]",19,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.32548599e+01 -1.57885432e+00 -1.37325411e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.54202378e+00  1.05353500e+02  3.59111359e+02  5.52608551e-05]",13,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.07835126e+00 -2.09338284e+00 -2.33475418e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.40000000e+01 -1.00000000e+00
  1.24465609e+00  1.05455765e+02  1.41031332e-02  9.61476990e+00]",36,1.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",False
0,"[ 4.61295395e+01 -2.93084812e+00 -3.84498405e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.40000000e+01  1.00000000e+00
  3.50071579e-01  1.13685410e+02  8.91980267e+00  9.03829125e-03]",5,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 4.61326370e+01 -2.93069792e+00 -3.84434509e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.40000000e+01 -1.00000000e+00
  3.61233175e-01  1.13710709e+02  8.86194420e+00  2.00190886e-04]",14,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 4.61326370e+01 -2.93069792e+00 -3.84434509e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.00000000e+01 -1.00000000e+00
  3.61232758e-01  1.13710709e+02  8.86194515e+00  2.00214772e-04]",40,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 4.61326370e+01 -2.93069792e+00 -3.84434509e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.00000000e+01 -1.00000000e+00
  3.61232758e-01  1.13710709e+02  8.86194515e+00  2.00245307e-04]",17,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 4.61326370e+01 -2.93069792e+00 -3.84434509e+01  1.00000000e+00
  0.00000000e+00  1.00000000e+00  1.00000000e+01 -1.00000000e+00
  3.61232758e-01  1.13710709e+02  8.86194515e+00  2.00192872e-04]",6,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
1,"[-38.29164505  -1.44919646 -12.34118938   0.           0.
   0.          12.          -1.           1.26376116 105.01325226
 359.04837036   2.87076887]",51,0.687,"[0, 0, 0, 0, 0, 0, 0.265531, 0.432927, 0.548917, 0.626487, 0.676902, 0.686841]",False
1,"[-2.46302032e+01 -1.79308796e+00 -1.60220184e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.05379522e+00  1.05008415e+02  3.59704010e+02  4.49055118e-05]",47,1.0,"[1, 1, 1, 0.646769, 0.482597, 0.107242, 0, 0, 0, 0, 0, 0]",False
1,"[-1.24238472e+01 -1.93022609e+00 -1.86258965e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  6.83328092e-01  1.00192589e+02  9.36068818e-02  2.90188516e+00]",37,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[  0.92198944  -2.07640338 -20.65799904   0.           0.
   0.          12.          -1.           0.91162813  97.1076889
 359.83935547   3.53551734]",22,1.0,"[0, 0, 0, 0.453387, 0.677957, 1, 0.289278, 0.252151, 0.251436, 0.251339, 0.25133, 0.251331]",False
1,"[ 2.00841484e+01 -2.46112370e+00 -2.44948025e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.00874317e+00  1.07043427e+02  3.59923218e+02  2.52508839e-05]",44,0.251,"[0.251327, 0.251323, 0.251309, 0.251307, 0.251307, 0.251308, 0.251308, 0.251308, 0.251309, 0.251309, 0.251309, 0.251307]",False
