Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-36.3337059   -1.49828386 -12.88116932   0.           0.
   0.          12.          -1.           1.36046708 105.23193359
 359.05523682   3.8884303 ]",17,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-26.54134941  -1.76474285 -15.61907673   0.           0.
   0.          12.          -1.           0.94798332 105.72444153
 359.48999023   1.01515591]",39,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-2.51625309e+01 -1.78690767e+00 -1.60122719e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.03556108e+00  1.05643120e+02  3.59589386e+02  4.86668150e-05]",39,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[  2.12575173  -2.11367154 -23.50546074   0.           0.
   0.          12.           1.           1.14852285 104.77542114
 359.96450806   6.01896369]",39,by model,1.0,OBSTACLE,"[0, 0, 0.089426, 0, 0, 0, 0, 0, 0, 0, 1, 0]",False
0,"[ 3.42504196e+01 -2.60242939e+00 -3.69409637e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  5.37227869e-01  1.10579948e+02  3.40053105e+00  1.79697818e-02]",10,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.42502060e+01 -2.60007524e+00 -3.69318085e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01  1.00000000e+00
  5.36543846e-01  1.10801559e+02  3.65455127e+00  2.00031645e-04]",39,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.42502441e+01 -2.60015059e+00 -3.69309998e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  5.33782005e-01  1.10821518e+02  3.66888833e+00  1.87023498e-04]",39,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.42502899e+01 -2.60024548e+00 -3.69302025e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  5.33831954e-01  1.10839966e+02  3.67283559e+00  2.78131255e-04]",39,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.42503357e+01 -2.60028577e+00 -3.69294281e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  5.35219848e-01  1.10858475e+02  3.67612958e+00  1.83926543e-04]",20,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 3.42503548e+01 -2.60034895e+00 -3.69286232e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.00000000e+01 -1.00000000e+00
  5.38155854e-01  1.10876984e+02  3.68027854e+00  2.37228473e-04]",39,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
1,"[-37.14123154  -1.47817779 -12.65807152   0.           0.
   0.          12.          -1.           1.20265877 105.1580658
 359.05499268   4.50996106]",36,randomly,0.072,No collision,"[0.071568, 0.029527, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[-24.33716011  -1.79964674 -16.23376465   0.           0.
   0.          12.          -1.           0.86497861 105.73697662
 359.72592163   1.06318865]",29,randomly,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 11.96072865  -2.34869671 -25.89662743   0.           0.
   0.          12.          -1.           1.51576686  98.80303955
 359.57528687   6.09966143]",39,by model,0.245,No collision,"[0, 0, 0, 0.244919, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 57.92535782  -3.13410378 -36.21825409   0.           0.
   0.          12.           1.           0.84940737  96.65370941
 359.75170898   9.06015826]",39,by model,0.517,No collision,"[0, 0, 0.222268, 0.281106, 0.517484, 0, 0, 0, 0, 0, 0, 0]",False
1,"[126.18714905  -3.71980834 -62.64186859   0.           0.
   0.          12.           1.         358.35891724 113.73268127
   5.28086519   7.12634787]",24,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[172.62142944  -4.75341368 -80.30138397   0.           0.
   0.          12.           1.           0.7207399  110.38557434
 359.62057495   9.01222164]",39,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 1.76769028e+02 -4.81280756e+00 -8.18338623e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.46651483e+00  1.10273102e+02  4.75288481e-01  4.48465266e-05]",7,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 1.76769028e+02 -4.81280756e+00 -8.18338623e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.46651518e+00  1.10273102e+02  4.75289017e-01  4.49096942e-05]",7,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 1.76769028e+02 -4.81280756e+00 -8.18338623e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.46651495e+00  1.10273102e+02  4.75288600e-01  4.50775529e-05]",7,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
1,"[ 1.76769028e+02 -4.81280756e+00 -8.18338623e+01  0.00000000e+00
  0.00000000e+00  2.00000003e-01  1.20000000e+01 -1.00000000e+00
  1.46651495e+00  1.10273102e+02  4.75288600e-01  4.51574669e-05]",7,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",True
2,"[-36.71996307  -1.48851871 -12.77440929   0.           0.
   0.          12.          -1.           1.38949931 105.1979599
 359.05471802   3.19512008]",17,by model,0.066,No collision,"[0, 0.066407, 0.016457, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[-3.25055084e+01 -1.59901118e+00 -1.39422112e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.59485888e+00  1.05485207e+02  3.59138306e+02  5.44316032e-05]",43,randomly,1.0,SUV(Clone)64180399-3695-4674-90f6-8ff72d17f366,"[0, 0, 0, 0, 1, 0.069034, 0.067893, 0.065058, 0.063671, 0.062663, 0.062192, 0.061972]",False
2,"[-3.25112991e+01 -1.60346961e+00 -1.39532242e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  2.93580008e+00  1.05070656e+02  3.56978851e+02  2.91451040e-03]",39,by model,0.062,No collision,"[0.061752, 0.061534, 0.06132, 0.061046, 0.060785, 0.060511, 0.060262, 0.060046, 0.059799, 0.059578, 0.059401, 0.059222]",False
2,"[-3.25147820e+01 -1.60955215e+00 -1.39737473e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01  1.00000000e+00
  1.71326017e+00  1.05037834e+02  3.58410919e+02  1.54994951e-03]",39,by model,0.403,No collision,"[0.059053, 0.40311, 0.062003, 0.02162, 0, 0, 0, 0, 0, 0, 0, 0]",False
2,"[ -8.15771294  -1.9583168  -21.01369286   0.           0.
   0.          12.          -1.           0.1436832  108.7285614
   0.20238516   5.76030905]",26,by model,0.429,No collision,"[0, 0, 0.203803, 0.428784, 0, 0, 0, 0, 0, 0, 0, 0]",False
