per_confi,pred_confi,reward
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,1.0
0.8,0.7,1.0
0.8,0.7,0.999
0.8,0.7,1.0
0.8,0.7,0.999
0.8,0.7,0.999
0.8,0.7,0.999
0.8,0.7,0.999
0.8,0.7,0.999
0.8,0.7,1.0
0.8,0.7,0.999
0.8,0.7,0.999
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,0.231
0.8,0.7,0.257
0.8,0.7,-1
0.8,0.7,0.234
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,-1
0.8,0.7,0.999
0.8,0.7,0.999
0.8,0.7,1.0
0.8,0.7,0.999
0.8,0.7,1.0
0.8,0.7,1.0
0.8,0.7,1.0
0.8,0.7,1.0
0.8,0.7,1.0
0.8,0.7,1.0
0.8,0.7,1.0
