Episode,State,Action,Choosing_Type,Collision_Probability,Collision_uid,Collision_Probability_Per_Step,Done
0,"[-3.59159050e+01 -1.50847661e+00 -1.29891272e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.41327298e+00  1.05151672e+02  3.59057587e+02  1.93111592e+00
  1.33957559e+00  1.31067284e+00  1.00000000e+05  1.00000000e+03
  1.00000000e+03  1.00000000e+05  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.77270215e+01  1.00000000e+02
 -3.10763898e-01 -7.40891505e-01  1.00000000e+00]",44,randomly,0.424,No collision,"[0.423528, 0, 0, 0.086907, 0.172205, 0.184745, 0.186238, 0.186422, 0.186437, 0.186439, 0.211639, 0.098016]",False
0,"[-3.27273827e+01 -1.59293449e+00 -1.38657713e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  1.20000000e+01 -1.00000000e+00
  1.64164531e+00  1.05261238e+02  3.59119598e+02  1.25364869e-03
  1.33802294e+00  1.30847962e+00  4.51717806e+00  6.76952616e+00
  1.00732332e+02  4.51717806e+00  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -2.10111768e-01  1.60870768e-02  1.00000000e+00]",8,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.26392937e+01 -1.59549332e+00 -1.38939114e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  1.59797716e+00  1.05258774e+02  3.59128448e+02  5.59676961e-05
  1.33832247e+00  1.30848142e+00  3.55092926e+01  1.98776965e+01
  1.20233104e+02  3.55092926e+01  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99921179e+01  1.00000000e+02
 -1.68790902e-01 -3.00000000e+00  1.00000000e+00]",35,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[-3.24816475e+01 -1.59945440e+00 -1.39391241e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01  1.00000000e+00
  1.59225214e+00  1.05269302e+02  3.59148224e+02  5.48092886e-05
  1.33836173e+00  1.30820745e+00  3.28266964e+01  1.03704404e+01
  1.34341445e+01  3.53824089e+01  0.00000000e+00  0.00000000e+00
  1.00000000e+02  1.00000000e+01  1.00000000e+02  2.00000000e+01
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  6.99922810e+01  1.00000000e+02
  1.00304411e-02 -3.00000000e+00  1.00000000e+00]",32,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 6.21711791e-01 -2.08380127e+00 -2.32642727e+01  0.00000000e+00
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  1.20363498e+00  1.05753754e+02  3.56713906e-02  9.67448338e+00
  1.34095638e+00  1.29567861e+00  2.33656829e+01  1.98776965e+01
  1.20233104e+02  2.33656829e+01  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
 -4.77354988e-01  1.59581592e+00  1.00000000e+00]",6,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 62.2127037   -3.20128441 -35.68877792   0.           1.
   0.          12.           1.           0.86808485 102.52864838
   0.2478946    8.707728     1.34315924   1.35099683  71.79385485
  19.87769649 120.23310447  71.79385485   0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          28.98274339   0.         100.
  -3.3316061    1.21879204   1.        ]",2,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[122.32605743  -4.01604414 -52.83250427   0.5          0.
   0.5         12.          -1.           0.48925164 110.98480225
   0.87009811  10.35840326   1.44915033   1.20409951 133.30816346
  19.87769649 120.23310447 133.30816346   0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          31.14778165   0.         100.
  25.63765611   1.37260643   1.        ]",36,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 1.83355423e+02 -4.74391079e+00 -6.75675201e+01  5.00000000e-01
  0.00000000e+00  5.00000000e-01  1.20000000e+01 -1.00000000e+00
  7.17907608e-01  1.07530533e+02  1.24010587e+00  1.06638774e+01
  1.34416224e+00  1.25916196e+00  1.68975916e+02  5.08944094e-03
  1.76017595e+01  1.95466329e+02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  1.57000000e+01  0.00000000e+00  1.00000000e+02
  1.29002835e+01  9.25055968e-01  1.00000000e+00]",36,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[244.6124115   -5.8620801  -84.04890442   0.5          0.
   0.5         12.          -1.           0.84630364 108.9521637
   0.95578468  10.52636804   1.65857331   1.24694818 232.42188175
   0.          17.60174457 258.71570145   0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.           0.           0.           0.
   0.           0.          15.7          0.         100.
  24.83492575   0.35813564   1.        ]",36,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
0,"[ 302.08724976   -6.88242769 -100.00978851    0.5           0.
    0.5          12.           -1.            0.78801441  113.16384888
    1.16258919    9.4586733     1.34369489    1.1611949   260.41297552
   12.2243172    18.15407951  318.28608527    0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.           24.14202399    0.          100.
   30.67005604    0.83622013    1.        ]",36,by model,0.0,No collision,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False
